BeverageId,name,info,imagePath,hasCold,hasHot,remark,Category,Shop
A11,冰淇淋紅茶,冰淇淋紅茶好喝推推,50嵐/冰淇淋紅茶.jpg,t,f, ,CB,A
A12,鮮柚綠,鮮柚綠人間極品,50嵐/鮮柚綠.jpg,t,f, ,CG,A
A13,檸檬汁,檸檬汁好喝推推,50嵐/檸檬汁.jpg,t,f, ,CF,A
A14,金桔檸檬,金桔檸檬人間極品,50嵐/金桔檸檬.jpg,t,f, ,CF,A
A15,檸檬梅子,檸檬梅子好喝推推,50嵐/檸檬梅子.jpg,t,f, ,CF,A
A16,檸檬養樂多,檸檬養樂多人間極品,50嵐/檸檬養樂多.jpg,t,f, ,CF,A
A17,8冰茶,8冰茶好喝推推,50嵐/8冰茶.jpg,t,f, ,CX,A
A18,鮮柚汁,鮮柚汁人間極品,50嵐/鮮柚汁.jpg,t,f, ,CF,A
A19,葡萄柚多多,葡萄柚多多好喝推推,50嵐/葡萄柚多多.jpg,t,f, ,CF,A
A20,奶茶,奶茶人間極品,50嵐/奶茶.jpg,t,f, ,CM,A
A21,奶綠,奶綠好喝推推,50嵐/奶綠.jpg,t,f, ,CG,A
A22,紅茶瑪奇朵,紅茶瑪奇朵人間極品,50嵐/紅茶瑪奇朵.jpg,t,f, ,CB,A
A23,黃金烏龍奶茶,黃金烏龍奶茶好喝推推,50嵐/黃金烏龍奶茶.jpg,t,f, ,CM,A
A24,四季奶青,四季奶青人間極品,50嵐/四季奶青.jpg,t,f, ,CM,A
A25,阿華田,阿華田好喝推推,50嵐/阿華田.jpg,t,f, ,CX,A
A26,可可芭蕾,可可芭蕾人間極品,50嵐/可可芭蕾.jpg,t,f, ,CX,A
A27,波霸 紅/綠/青/烏,波霸 紅/綠/青/烏好喝推推,50嵐/波霸 紅/綠/青/烏.jpg,t,f, ,CG,A
A28,波霸奶茶(大顆),波霸奶茶(大顆)人間極品,50嵐/波霸奶茶(大顆).jpg,t,f, ,CM,A
A29,波霸奶綠(大顆),波霸奶綠(大顆)好喝推推,50嵐/波霸奶綠(大顆).jpg,t,f, ,CG,A
A30,珍珠 紅/綠/青/烏,珍珠 紅/綠/青/烏人間極品,50嵐/珍珠 紅/綠/青/烏.jpg,t,f, ,CG,A
A31,珍珠奶茶(小顆),珍珠奶茶(小顆)好喝推推,50嵐/珍珠奶茶(小顆).jpg,t,f, ,CM,A
A32,珍珠奶綠(小顆),珍珠奶綠(小顆)人間極品,50嵐/珍珠奶綠(小顆).jpg,t,f, ,CG,A
A33,椰果奶茶,椰果奶茶好喝推推,50嵐/椰果奶茶.jpg,t,f, ,CM,A
A34,仙草奶凍,仙草奶凍人間極品,50嵐/仙草奶凍.jpg,t,f, ,CM,A
A35,鮮柚汁(季節限定),鮮柚汁(季節限定)好喝推推,50嵐/鮮柚汁(季節限定).jpg,t,f, ,CF,A
A36,紅茶拿鐵,紅茶拿鐵人間極品,50嵐/紅茶拿鐵.jpg,t,f, ,CM,A
A37,綠茶拿鐵,綠茶拿鐵好喝推推,50嵐/綠茶拿鐵.jpg,t,f, ,CM,A
A38,黃金烏龍拿鐵,黃金烏龍拿鐵人間極品,50嵐/黃金烏龍拿鐵.jpg,t,f, ,CM,A
A39,阿華田拿鐵,阿華田拿鐵好喝推推,50嵐/阿華田拿鐵.jpg,t,f, ,CM,A
A40,可可芭蕾拿鐵,可可芭蕾拿鐵人間極品,50嵐/可可芭蕾拿鐵.jpg,t,f, ,CM,A
C01,茉莉烏龍,茉莉烏龍人間極品,comebuy/茉莉烏龍.jpg,t,t, ,CO,C
C02,碧螺春,碧螺春好喝推推,comebuy/碧螺春.jpg,t,t, ,CX,C
C03,四季春,四季春人間極品,comebuy/四季春.jpg,t,t, ,CX,C
