BeverageId	name	info	imagePath	hasCool	hasHot	remark	Category_id	Shop_id
A01	茉莉綠茶	茉莉綠茶好喝推推	50嵐/茉莉綠茶.png	TRUE	FALSE		CG	A
A02	阿薩姆紅茶	阿薩姆紅茶人間極品	50嵐/阿薩姆紅茶.png	TRUE	FALSE		CB	A
A03	四季春茶	四季春茶好喝推推	50嵐/四季春茶.png	TRUE	FALSE		CX	A
A04	黃金烏龍	黃金烏龍人間極品	50嵐/黃金烏龍.png	TRUE	FALSE		CO	A
A05	檸檬綠茶	檸檬綠茶好喝推推	50嵐/檸檬綠茶.png	TRUE	FALSE		CG	A
A06	梅果綠	梅果綠人間極品	50嵐/梅果綠.png	TRUE	FALSE		CG	A
A07	蜂蜜綠	蜂蜜綠好喝推推	50嵐/蜂蜜綠.png	TRUE	FALSE		CG	A
A08	桔子綠	桔子綠人間極品	50嵐/桔子綠.png	TRUE	FALSE		CG	A
A09	8冰綠	8冰綠好喝推推	50嵐/8冰綠.png	TRUE	FALSE		CG	A
A10	養樂多綠	養樂多綠人間極品	50嵐/養樂多綠.png	TRUE	FALSE		CG	A
A11	冰淇淋紅茶	冰淇淋紅茶好喝推推	50嵐/冰淇淋紅茶.png	TRUE	FALSE		CB	A
A12	鮮柚綠	鮮柚綠人間極品	50嵐/鮮柚綠.png	TRUE	FALSE		CG	A
A13	檸檬汁	檸檬汁好喝推推	50嵐/檸檬汁.png	TRUE	FALSE		CF	A
A14	金桔檸檬	金桔檸檬人間極品	50嵐/金桔檸檬.png	TRUE	FALSE		CF	A
A15	檸檬梅子	檸檬梅子好喝推推	50嵐/檸檬梅子.png	TRUE	FALSE		CF	A
A16	檸檬養樂多	檸檬養樂多人間極品	50嵐/檸檬養樂多.png	TRUE	FALSE		CF	A
A17	8冰茶	8冰茶好喝推推	50嵐/8冰茶.png	TRUE	FALSE		CX	A
A18	鮮柚汁	鮮柚汁人間極品	50嵐/鮮柚汁.png	TRUE	FALSE		CF	A
A19	葡萄柚多多	葡萄柚多多好喝推推	50嵐/葡萄柚多多.png	TRUE	FALSE		CF	A
A20	奶茶	奶茶人間極品	50嵐/奶茶.png	TRUE	FALSE		CM	A
A21	奶綠	奶綠好喝推推	50嵐/奶綠.png	TRUE	FALSE		CG	A
A22	紅茶瑪奇朵	紅茶瑪奇朵人間極品	50嵐/紅茶瑪奇朵.png	TRUE	FALSE		CB	A
A23	黃金烏龍奶茶	黃金烏龍奶茶好喝推推	50嵐/黃金烏龍奶茶.png	TRUE	FALSE		CM	A
A24	四季奶青	四季奶青人間極品	50嵐/四季奶青.png	TRUE	FALSE		CM	A
A25	阿華田	阿華田好喝推推	50嵐/阿華田.png	TRUE	FALSE		CX	A
A26	可可芭蕾	可可芭蕾人間極品	50嵐/可可芭蕾.png	TRUE	FALSE		CX	A
A27	波霸 紅/綠/青/烏	波霸 紅/綠/青/烏好喝推推	50嵐/波霸 紅/綠/青/烏.png	TRUE	FALSE		CG	A
A28	波霸奶茶(大顆)	波霸奶茶(大顆)人間極品	50嵐/波霸奶茶(大顆).png	TRUE	FALSE		CM	A
A29	波霸奶綠(大顆)	波霸奶綠(大顆)好喝推推	50嵐/波霸奶綠(大顆).png	TRUE	FALSE		CG	A
A30	珍珠 紅/綠/青/烏	珍珠 紅/綠/青/烏人間極品	50嵐/珍珠 紅/綠/青/烏.png	TRUE	FALSE		CG	A
A31	珍珠奶茶(小顆)	珍珠奶茶(小顆)好喝推推	50嵐/珍珠奶茶(小顆).png	TRUE	FALSE		CM	A
A32	珍珠奶綠(小顆)	珍珠奶綠(小顆)人間極品	50嵐/珍珠奶綠(小顆).png	TRUE	FALSE		CG	A
A33	椰果奶茶	椰果奶茶好喝推推	50嵐/椰果奶茶.png	TRUE	FALSE		CM	A
A34	仙草奶凍	仙草奶凍人間極品	50嵐/仙草奶凍.png	TRUE	FALSE		CM	A
A35	鮮柚汁(季節限定)	鮮柚汁(季節限定)好喝推推	50嵐/鮮柚汁(季節限定).png	TRUE	FALSE		CF	A
A36	紅茶拿鐵	紅茶拿鐵人間極品	50嵐/紅茶拿鐵.png	TRUE	FALSE		CM	A
A37	綠茶拿鐵	綠茶拿鐵好喝推推	50嵐/綠茶拿鐵.png	TRUE	FALSE		CM	A
A38	黃金烏龍拿鐵	黃金烏龍拿鐵人間極品	50嵐/黃金烏龍拿鐵.png	TRUE	FALSE		CM	A
A39	阿華田拿鐵	阿華田拿鐵好喝推推	50嵐/阿華田拿鐵.png	TRUE	FALSE		CM	A
A40	可可芭蕾拿鐵	可可芭蕾拿鐵人間極品	50嵐/可可芭蕾拿鐵.png	TRUE	FALSE		CM	A
B01	阿薩姆奶茶	阿薩姆奶茶好喝推推	CoCo/阿薩姆奶茶.png	TRUE	FALSE		CM	B
B02	珍珠奶茶	珍珠奶茶人間極品	CoCo/珍珠奶茶.png	TRUE	FALSE		CM	B
B03	奶茶雙重奏	奶茶雙重奏好喝推推	CoCo/奶茶雙重奏.png	TRUE	FALSE		CM	B
